Reference,Value,Footprint,Qty
"C1,C2",47uF,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,2
"C3,C4,C5,C6,C7,C8,C9,C10,C13",100nF,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,9
C11,2x1uF,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,1
C12,1nF,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,1
C14,2x470nF,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,1
C15,1uF,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,1
"C16,C21",680pF,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,2
"C17,C20",2.2nF,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,2
"C18,C19",5.6nF,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,2
D1,SB140-,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,1
D2,SB140+,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,1
D3,LED,LED_THT:LED_D3.0mm,1
"D4,D5,D6",1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,3
J0,Conn_01x01,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,1
"J1,J2,J3,J4,J5,J6,J7,J8,J9",TS_Jack_6.35mm_Sw,SynthStuff:CUI_MJ-63052A,9
"J50,J60,J70",Conn_01x06,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,3
J100,IDC_02x05,SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_Eurorack,1
J200,IDC_02x05,SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_BackBone,1
"Q1,Q3",BC548,Package_TO_SOT_THT:TO-92_Inline_Wide,2
Q2,J113,Package_TO_SOT_THT:TO-92L_Inline,1
R1,2x2k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1
"R2,R3,R4,R5,R6,R8,R9,R10,R11,R13,R19,R20,R22,R24,R29",100k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,15
"R7,R33,R35",10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3
R12,33k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1
R14,51k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1
"R15,R31",1M,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2
"R16,R17,R18,R23,R30,R37",1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6
R21,270R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1
R25,4k7,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1
R26,47k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1
"R27,R32",470k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2
R28,22k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1
R34,20k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1
R36,100K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1
R38,100R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1
RV1,250k,SynthStuff:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1
"RV2,RV3",100k,SynthStuff:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,2
SW1,SW_Push,SynthStuff:SW_Cherry_MX_1.00u_PCB,1
SW2,SW_SPDT_321,SynthStuff:Toggle_Switch_THT,1
"U1,U2,U3",TL074,Package_DIP:DIP-14_W7.62mm_Socket,3
